Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT112A","Regione Lazio","IT0952A","CASTEL DI GUIDO","SPO.IT0952A_7_UV-P_1997-01-03_00:00:00","O3","Ozone (air)","P1Y-dx-max","1 year day max max","2024","125.750","ug/m3","95.90","3","Background","Rural","12.2663","41.8895","66.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:09","",""
"Italy","NET.IT112A","Regione Lazio","IT0952A","CASTEL DI GUIDO","SPO.IT0952A_7_UV-P_1997-01-03_00:00:00","O3","Ozone (air)","P3Y-dmaxAbove120","Daymax exceed 120 averaged over 3 consecutive years","2024","7.667","count","100.00","3","Background","Rural","12.2663","41.8895","66.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:31","",""
"Italy","NET.IT112A","Regione Lazio","IT0952A","CASTEL DI GUIDO","SPO.IT0952A_7_UV-P_1997-01-03_00:00:00","O3","Ozone (air)","P1Y-dx-avg","1 year daymax average","2024","78.449","ug/m3","95.90","3","Background","Rural","12.2663","41.8895","66.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:05","",""
"Italy","NET.IT112A","Regione Lazio","IT0952A","CASTEL DI GUIDO","SPO.IT0952A_7_UV-P_1997-01-03_00:00:00","O3","Ozone (air)","P3Y","3 subsequent calendar years mean","2024","62.357","ug/m3","97.83","3","Background","Rural","12.2663","41.8895","66.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:26","",""
"Italy","NET.IT112A","Regione Lazio","IT0952A","CASTEL DI GUIDO","SPO.IT0952A_7_UV-P_1997-01-03_00:00:00","O3","Ozone (air)","P1Y-dmax-per99","1 year 99 percentile daily 8h maximum","2024","115.125","ug/m3","95.90","3","Background","Rural","12.2663","41.8895","66.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:02","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2024","50.917","ug/m3","95.90","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:23","",""
"Italy","NET.IT112A","Regione Lazio","IT1176A","L.GO PERESTRELLO","SPO.IT1176A_7_UV-P_1998-03-17_00:00:00","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2024","20.000","count","96.17","3","Background","Urban","12.5416","41.8860","28.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:52","",""
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_7_UV-P_2006-12-17_00:00:00","O3","Ozone (air)","P1Y-maxP6M-P8H-dmax","Yearly highest six monthly average of daily maximum 8-hour mean concentration","2024","66.518","ug/m3","100.00","3","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:08","",""
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_7_UV-P_2006-12-17_00:00:00","O3","Ozone (air)","SOMO35","Sum of Ozone Means Over 35 ppb","2024","469.752","ug/m3","95.90","3","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 22:05:04","",""
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_7_UV-P_2006-12-17_00:00:00","O3","Ozone (air)","AOT40f","AOT40 for forest protection","2024","652.087","ug/m3","93.85","3","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:20:31","",""
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_7_UV-P_1997-01-30_00:00:00","O3","Ozone (air)","P1Y-dmax-per99","1 year 99 percentile daily 8h maximum","2024","136.375","ug/m3","91.26","3","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:02","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","P1Y-dmax-per95.07","1 year 95.07 percentile daily 8h maximum","2024","123.625","ug/m3","95.63","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:59","",""
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_7_UV-P_1997-01-30_00:00:00","O3","Ozone (air)","P1Y-hr-max","1 year hour max","2024","182.000","ug/m3","93.97","3","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:15","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","P1Y-dx-max26","1 year daymax max 26","2024","121.500","ug/m3","95.63","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:12","",""
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_7_UV-P_1997-01-30_00:00:00","O3","Ozone (air)","P1Y-hr-per50","1 year 50 percentile","2024","46.000","ug/m3","93.97","3","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:40","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","P1Y-maxP6M-P8H-dmax","Yearly highest six monthly average of daily maximum 8-hour mean concentration","2024","99.372","ug/m3","100.00","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","Mixed E1a/validated and E2a/UTD data AQ e-Reporting","09/08/2025 22:00:08","",""
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_7_UV-P_1997-01-30_00:00:00","O3","Ozone (air)","P1Y-hrsAbove180","1 year hour exceed 180","2024","1.000","count","93.97","3","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:59:48","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","SOMO10","Sum of Ozone Means Over 10 ppb","2024","20373.203","ug/m3","95.63","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 22:05:00","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","AOT40cmeasured","AOT40c UNCORRECTED for data capture","2024","16515.000","ug/m3","89.67","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:20:26","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","P1Y-day-max","1 year day max","2024","123.750","ug/m3","95.90","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 21:58:03","",""
"Italy","NET.IT112A","Regione Lazio","IT0957A","TENUTA DEL CAVALIERE","SPO.IT0957A_7_UV-P_1997-02-06_00:00:00","O3","Ozone (air)","SOMO35","Sum of Ozone Means Over 35 ppb","2024","5380.449","ug/m3","95.63","3","Background","Suburban","12.6585","41.9295","56.0","Roma                                                                            ","IT001C1                                           ","2808293","E2a/UTD AQ e-Reporting","09/08/2025 22:05:04","",""
